Aisa_Order,person_name,ig_name,ig_id,ig_strong_id,done,posts,Followers,Following,ig_url,ig_url ig_private,ig_notSure_notFound,ig_repeat,category,followers,Top200新增
1,蔡阿嘎,蔡阿嘎,yga0721,45717781,1,,,,https://www.instagram.com/yga0721/,,,,趣味搞笑,"5,893,570",
2,Joeman,Joeman 九妹,joemanweng,360484090,g,,,,https://www.instagram.com/joemanweng/,,,,"美食料理,3C科技,趣味搞笑","3,987,069",
3,黃阿瑪的後宮生活,黃阿瑪的後宮生活,fumeancat,1399123752,1,4527,105萬,159,https://www.instagram.com/fumeancat/,,,,寵物,"4,118,794",
4,千千進食中,千千,khshu_,254432523,g,989,88.8萬,962,https://www.instagram.com/khshu_/,,,,美食料理,"3,609,387",
5,小象愛出門,小象愛出門,elephant_gogo,484667815,g,,,,https://www.instagram.com/elephant_gogo/,,,,"美食料理,旅遊","1,160,238",
6,那對夫妻,那對夫妻Nico&Kim ,1006nk,1701651749,1,,,,https://www.instagram.com/1006nk/,,,,"趣味搞笑,家庭母嬰,表演藝術","4,578,282",
7,How-Fun-如何爽,HowHow,howhowhasfriends,6505088311,1,,,,https://www.instagram.com/howhowhasfriends,,,,趣味搞笑,"2,758,663",
8,PanSci-泛科學,PanSci 泛科學,pansci,1455058965,1,,,,https://www.instagram.com/pansci/,,,,知識教育,"1,900,400",
9,一隻阿圓,一隻阿圓,nanaciaociao,313471712,1,3490,56.1萬,1038,https://www.instagram.com/nanaciaociao/,,,,"美妝保養,時尚潮流,旅遊","1,734,796",
10,欸你這週要幹嘛,欸你這週要幹嘛,arielsvlog_816,8320554996,1,,,,https://www.instagram.com/arielsvlog_816/,,,,趣味搞笑,"2,339,911",
11,77老大,77老大,basil_77777,,1,,,,https://www.instagram.com/zamy_ding/,,,,"醫療健康,知識教育","2,808,129",1
12,那個女生-Kiki,那個女生Kiki,minikiki_0529,,1,,,,https://www.instagram.com/minikiki_0529/,,,,"美食料理,知識教育","1,793,484",1
13,阿滴英文,阿滴,rayduenglish,,,,,,https://www.instagram.com/rayduenglish/,,,,知識教育,"4,987,120",1
14,好味小姐,"好味小姐與蛋捲,短褲,麻糊,米香,橘皮,本丸,圓仔,More ",ladyflavor,3417748590,1,,,,https://www.instagram.com/ladyflavor/,,,,"美食料理,寵物","1,592,539",
14,好味小姐,好味小姐脆脆,ladyflavor_cui,3656815405,1,,,,https://www.instagram.com/ladyflavor_cui/,,,,"美食料理,寵物","1,592,539",
14,好味小姐,好味小姐腦波弱跟Podcast ,ladyflavor_nowpo,53675526308,1,,,,https://www.instagram.com/ladyflavor_nowpo/,,,,"美食料理,寵物","1,592,539",
15,廉傑克曼,張廉傑 RJ / 阿傑,jaychang0127,328078093,g,1841,41.3萬,4009,https://www.instagram.com/jaychang0127/,,,,遊戲電玩,"1,170,390",
16,江老師,我是江老師,teacherchiang,30136496472,g,1898,30.6萬,621,https://www.instagram.com/teacherchiang,,,,"表演藝術,時尚潮流,家庭母嬰","1,343,583",
17,那些電影教我的事,那些電影教我的事,lessonsfrommovies,485234984,1,,,,https://www.instagram.com/lessonsfrommovies/,,,,影視評論,"3,862,684",
18,豆漿--Soybean-Milk,豆漿-SoybeanMilk,soybeanmilk_cat,5556187464,1,,,,https://www.instagram.com/soybeanmilk_cat/,,,,寵物,"1,835,218",
19,Onion-man-洋蔥先生與阿文,洋蔥先生與阿文,onionman__,1981431196,g,1172,45.7萬,921,https://www.instagram.com/onionman__/,,,,"表演藝術,趣味搞笑","3,133,655",
20,人類超有病-Baxuan,霸軒BAXUAN,baxuan_ig,1959578996,g,1061,73.9萬,2826,https://www.instagram.com/baxuan_ig/,,,,"表演藝術,趣味搞笑","2,789,691",
21,大蛇丸,大蛇丸,jam_cutepig,2214964723,1,,,,https://www.instagram.com/jam_cutepig/,,,,趣味搞笑,"2,040,947",
22,Andy老師,Andy老師,andy1994x,4017891221,1,,,,https://www.instagram.com/andy1994x/,,,,"趣味搞笑,表演藝術","4,471,750",
23,超認真少年-I'm-Serious,超認真少年,imseriou,8743462644,g,1517,13.7萬,744,https://www.instagram.com/imseriou/,,,,知識教育,"1,219,271",
24,三原慧悟-Sanyuan_JAPAN,三原 慧悟/サンエン/Mr.3,sanyuan_japan,2036845994,1,,,,https://www.instagram.com/sanyuan_japan/,,,,"旅遊,趣味搞笑","2,199,000",
25,貓貓蟲-咖波,Bugcat Capoo,bugcat_capoo,2122019014,1,,,,https://www.instagram.com/bugcat_capoo/,,,,表演藝術,"6,539,880",
26,Ian&Eric,The DoDo Men - 嘟嘟人,thedodomen,,1,,,,https://www.instagram.com/thedodomen/,,,,"旅遊,趣味搞笑","2,226,005",1
27,黃氏兄弟,黃氏兄弟,huangbrotherss,6231869789,1,,,,https://www.instagram.com/huangbrotherss/,,,,"趣味搞笑,表演藝術","3,051,036",
28,我得了一種吃菜就會死的病-微疼,微疼,weiteng0710,,,,,,https://www.instagram.com/weiteng0710/,,,,"表演藝術,趣味搞笑","2,509,942",1
29,琳妲-林羿禎,琳妲-林羿禎💕 ,linda831212,262292089,g,5210,98.7萬,2400,https://www.instagram.com/linda831212/,,,,"表演藝術,趣味搞笑","2,688,159",
30,白癡公主,白癡公主,87acup,323227199,1,,,,https://www.instagram.com/87acup/,,,,趣味搞笑,"3,796,221",
31,KEOKI-BLACK布萊克薛薛,布萊克薛薛Drangadrang,k3okii,192726292,1,,,,https://www.instagram.com/k3okii/,,,,"旅遊,美食料理","1,200,469",
32,厭世甜點店,厭世甜點店,energydessert2019,,,,,,https://www.instagram.com/energydessert2019/,,,,美食料理,"817,219",1
33,陳彥婷,陳彥婷 Tiffany,thetiffanychen,4053642540,1,,,,https://www.instagram.com/thetiffanychen/,,,,趣味搞笑,"1,601,595",
34,魚乾,魚乾,annie72127,310596431,1,,,,https://www.instagram.com/annie72127/,,,,"寵物,遊戲電玩,趣味搞笑","2,023,760",
35,志祺七七,志祺,shasha77.daily,7011513421,1,,,,https://www.instagram.com/shasha77.daily/,,,,"知識教育,時事討論,高階經理人","1,935,680",
36,HOOK,HOOK ,helloiamhook,6666970922,1,,,,https://www.instagram.com/helloiamhook/,,,,"寵物,旅遊,美食料理","2,877,515",
37,木曜4超玩,木曜4超玩,muyao4,5422332449,1,,,,https://www.instagram.com/muyao4/,,,,旅遊,"3,229,080",
38,丹妮婊姐,丹妮婊姐星球,dannybeeech,1387337609,1,1231,25.7萬,2,https://www.instagram.com/dannybeeech/,,,,"美妝保養,時尚潮流,趣味搞笑","1,174,230",
39,泱泱LYNN,泱泱LYNN,lynnwu0219_2,47642521277,1,,,,https://www.instagram.com/lynnwu0219_2/,,,,帶貨分潤,"1,965,591",
40,HahaTai-哈哈台,HahaTai 哈哈台,hahatai_official,2373420238,g,,,,https://www.instagram.com/hahatai_official/,,,,趣味搞笑,"2,018,440",
41,丁特-Dinter,丁特頻道,dinteroffical,,1,,,,https://www.instagram.com/dinteroffical/,,,,遊戲電玩,"1,600,408",1
42,彼得爸與蘇珊媽,彼得爸與蘇珊媽,peter_and_susan,22917989,g,3128,11.5萬,1251,https://www.instagram.com/peter_and_susan/,,,,"旅遊,家庭母嬰,帶貨分潤","741,306",
43,阿翰po影片,阿翰po影片,hanhanpovideo,,,,,,https://www.instagram.com/hanhanpovideo/,,,,趣味搞笑,"2,812,701",1
44,愛里,愛里,allie.liao,1962736611,g,173,61.3萬,1321,https://www.instagram.com/allie.liao/,,,,"知識教育,趣味搞笑","1,135,265",
45,這群人-尼克,尼克 王士維,nickwang1988,,,,,,https://www.instagram.com/nickwang1988/,,,,"趣味搞笑,表演藝術","1,466,257",1
46,蔡桃貴,蔡桃貴,tsaigray2018,8047388429,1,,,,https://www.instagram.com/tsaigray2018/,,,,"家庭母嬰,趣味搞笑","2,629,703",
47,Ru's-Piano-Ru味春捲,Ru味春捲Ru's Piano ,ruruspiano,589042879,g,1332,22.2萬,693,https://www.instagram.com/ruruspiano/,,,,表演藝術,"3,023,789",
48,阿啾繪圖同萌,阿啾小劇場,achusan0817,2214961036,1,,,,https://www.instagram.com/achusan0817/,,,,"表演藝術,趣味搞笑","2,064,380",
48,阿啾繪圖同萌,劉啾慶,achu08177,6183789581,1,,,,https://www.instagram.com/achu08177/,,,,"表演藝術,趣味搞笑","2,064,380",
49,黃大謙,黃大謙,da_chien_huang,,,,,,https://www.instagram.com/da_chien_huang/,,,,趣味搞笑,"2,073,696",1
50,愛莉莎莎-Alisasa,愛莉莎莎Alisasa 🐨 ,goodalicia,328949039,g,1636,61.3萬,1266,https://www.instagram.com/goodalicia/,,,,"美妝保養,時尚潮流","2,282,925",
51,見習網美小吳,見習網美小吳,beauty___wu,264560267,g,1728,75.9萬,769,https://www.instagram.com/beauty___wu/,,,,"美妝保養,趣味搞笑","2,457,900",
52,Charlene-Liu-查理,Charlene Liu 查理,coindevanity,,,,,,https://www.instagram.com/coindevanity/,,,,"美妝保養,時尚潮流,旅遊","1,182,828",1
53,PEETA葛格,PEETA葛格 ,peeta.gege,255612709,,,,,https://www.instagram.com/peeta.gege/,,,,運動健身,"1,234,263",
54,波蘭女孩x台灣男孩-在家環遊世界,Mila Sky,milasky_love,,,,,,https://www.instagram.com/milasky_love/,,,,"旅遊,美食料理","855,382",1
55,連環泡有芒果,連環泡有芒果,corgimango,,,,,,https://www.instagram.com/corgimango/,,,,"美食料理,寵物,趣味搞笑","1,376,204",1
56,Emma艾瑪,Emma 艾瑪,xollox121,255423608,g,,,,https://www.instagram.com/xollox121/,,,,運動健身,"2,021,109",
57,Aries艾瑞絲,Aries艾瑞絲,aries_8248,453456033,g,2021,77.4萬,938,https://www.instagram.com/aries_8248/,,,,"美食料理,表演藝術,趣味搞笑","4,793,236",
58,蘿潔塔的廚房,蘿潔塔的廚房,rosalina.kitchen,2319795781,1,,,,https://www.instagram.com/rosalina.kitchen/,,,,"美食料理,帶貨分潤","3,126,002",
