派系名稱,成員總數,核心領袖,所有成員
A,22,黃氏兄弟,胡子Huz | 三個麻瓜 | 有璟妍精요찡옌찡 | 囂搞-Shaogao | Aries艾瑞絲 | 瑀熙-Yuci | Bobo-TV | Yun-Chou | Candy-孟潔 | 彼得爸與蘇珊媽 | GINA-HELLO! | 蕭志瑋 | 這群人-董仔 | 安啾咪 | 關韶文 | 黃氏兄弟 | 恩熙俊-aka-MC-Jeng | 這群人TGOP | 陳彥婷 | 我是阿樂-林妤臻 | 那那大師 | 魚乾
B,8,滴妹,貓貓蟲-咖波 | PEETA葛格 | 黃大謙 | 阿滴英文 | HOOK | Evelyn-Chen-理科太太 | 滴妹 | 白癡公主
C,8,Onion-man-洋蔥先生與阿文,J-Bao賤葆 | 鹿人 | Onion-man-洋蔥先生與阿文 | 廚佛瑞德Fred | 千千進食中 | 大蛇丸 | 志祺七七 | 木曜4超玩
D,8,一隻阿圓,飽妮 | 魔術Channel---Davio | 紀卜心-Kimi | Sandy-&-Mandy | 這群人-尼克 | 一隻阿圓 | 那個女生-Kiki | 見習網美小吳
E,6,Ian&Eric,阿翰po影片 | Ian&Eric | 元-元 | 3cTim哥生活的日常 | 小尾巴 | Joeman
F,6,蔡哥,How-Fun-如何爽 | 廉傑克曼 | 鐵牛-Ironbull | 蔡哥 | 尤汐伯夷 | 我得了一種吃菜就會死的病-微疼
G,5,羚小鹿,琳妲-林羿禎 | 小A辣 | 林進-飛醺卑鄙-fashion-baby | 羚小鹿 | Sunnie-陸筱晴
H,4,江老師,HahaTai-哈哈台 | 江老師 | 卡特-Kart | 崔&雪莉&Jon
I,3,蔡阿嘎,嘎嫂二伯 | 蔡桃貴 | 蔡阿嘎
J,3,鵝鵝就是鵝鵝,喪屍老爸 | 咪妃Julia | 鵝鵝就是鵝鵝
K,2,黃小米-Mii,黃小米-Mii | 77老大
L,2,健人蓋伊,健人蓋伊 | 人類超有病-Baxuan
M,2,阿啾繪圖同萌,阿啾繪圖同萌 | 啾啾妹-by-LIIN
N,2,上發條俱樂部,上發條俱樂部 | 連環泡有芒果
O,2,Men's-Game-玩物誌,我是老爸-我不要當爸! | Men's-Game-玩物誌
P,2,現在宅知道,Six-Wang | 現在宅知道
Q,2,小葵-XiaoKui,閃電狼Flash-Wolves | 小葵-XiaoKui
R,2,Mom-&-Dad,台灣吧 | Mom-&-Dad
