派系名稱,成員總數,核心領袖,所有成員
A,3,蔡阿嘎,蔡阿嘎 | 蔡桃貴 | 嘎嫂二伯
B,3,Joeman,Joeman | 3cTim哥生活的日常 | 小尾巴
C,1,黃阿瑪的後宮生活,黃阿瑪的後宮生活
D,5,蔡哥,千千進食中 | Ian&Eric | 阿翰po影片 | 蔡哥 | 我是阿樂-林妤臻
E,1,小象愛出門,小象愛出門
F,1,那對夫妻,那對夫妻
G,3,How-Fun-如何爽,How-Fun-如何爽 | 廉傑克曼 | 尤汐伯夷
H,1,PanSci-泛科學,PanSci-泛科學
I,5,一隻阿圓,一隻阿圓 | 那個女生-Kiki | 這群人-尼克 | PEETA葛格 | 飽妮
J,1,欸你這週要幹嘛,欸你這週要幹嘛
K,2,黃小米-Mii,77老大 | 黃小米-Mii
L,5,滴妹,阿滴英文 | 貓貓蟲-咖波 | HOOK | 黃大謙 | 滴妹
M,1,好味小姐,好味小姐
N,2,江老師,江老師 | 卡特-Kart
O,1,那些電影教我的事,那些電影教我的事
P,1,豆漿--Soybean-Milk,豆漿--Soybean-Milk
Q,6,Onion-man-洋蔥先生與阿文,Onion-man-洋蔥先生與阿文 | 大蛇丸 | 志祺七七 | 木曜4超玩 | J-Bao賤葆 | 廚佛瑞德Fred
R,2,健人蓋伊,人類超有病-Baxuan | 健人蓋伊
S,1,Andy老師,Andy老師
T,1,超認真少年-I'm-Serious,超認真少年-I'm-Serious
U,1,三原慧悟-Sanyuan_JAPAN,三原慧悟-Sanyuan_JAPAN
V,5,黃氏兄弟,黃氏兄弟 | 彼得爸與蘇珊媽 | 有璟妍精요찡옌찡 | Bobo-TV | 三個麻瓜
W,2,鐵牛-Ironbull,我得了一種吃菜就會死的病-微疼 | 鐵牛-Ironbull
X,3,羚小鹿,琳妲-林羿禎 | 羚小鹿 | Sunnie-陸筱晴
Y,2,白癡公主,白癡公主 | Evelyn-Chen-理科太太
Z,1,KEOKI-BLACK布萊克薛薛,KEOKI-BLACK布萊克薛薛
[,1,厭世甜點店,厭世甜點店
\,2,陳彥婷,陳彥婷 | Yun-Chou
],4,魚乾,魚乾 | GINA-HELLO! | 胡子Huz | 安啾咪
^,1,丹妮婊姐,丹妮婊姐
_,1,泱泱LYNN,泱泱LYNN
`,2,HahaTai-哈哈台,HahaTai-哈哈台 | 崔&雪莉&Jon
a,1,丁特-Dinter,丁特-Dinter
b,1,愛里,愛里
c,1,Ru's-Piano-Ru味春捲,Ru's-Piano-Ru味春捲
d,2,阿啾繪圖同萌,阿啾繪圖同萌 | 啾啾妹-by-LIIN
e,1,愛莉莎莎-Alisasa,愛莉莎莎-Alisasa
f,3,見習網美小吳,見習網美小吳 | 魔術Channel---Davio | 紀卜心-Kimi
g,1,Charlene-Liu-查理,Charlene-Liu-查理
h,1,波蘭女孩x台灣男孩-在家環遊世界,波蘭女孩x台灣男孩-在家環遊世界
i,2,上發條俱樂部,連環泡有芒果 | 上發條俱樂部
j,1,Emma艾瑪,Emma艾瑪
k,1,Aries艾瑞絲,Aries艾瑞絲
l,1,蘿潔塔的廚房,蘿潔塔的廚房
m,1,瑀熙-Yuci,瑀熙-Yuci
n,3,這群人-董仔,這群人TGOP | 這群人-董仔 | 元-元
o,1,百變沛莉-Peri,百變沛莉-Peri
p,1,鹿人,鹿人
q,3,關韶文,關韶文 | Candy-孟潔 | 那那大師
r,2,Men's-Game-玩物誌,我是老爸-我不要當爸! | Men's-Game-玩物誌
s,1,蛋事超有事EggThings,蛋事超有事EggThings
t,1,雨揚樂活家族,雨揚樂活家族
u,1,肉比頭Zoebitalk,肉比頭Zoebitalk
