Group,Person_Name,In_Degree (被標記數),Category
A,胡子Huz,0,趣味搞笑
A,三個麻瓜,0,影視評論
A,有璟妍精요찡옌찡,1,"旅遊,美食料理"
A,囂搞-Shaogao,0,"表演藝術,趣味搞笑"
A,Aries艾瑞絲,2,"美食料理,表演藝術,趣味搞笑"
A,瑀熙-Yuci,1,"旅遊,遊戲電玩"
A,Bobo-TV,1,寵物
A,Yun-Chou,0,家庭母嬰
A,Candy-孟潔,0,時尚潮流
A,彼得爸與蘇珊媽,1,"旅遊,家庭母嬰,帶貨分潤"
A,GINA-HELLO!,0,"美妝保養,時尚潮流,旅遊"
A,蕭志瑋,0,"表演藝術,趣味搞笑"
A,這群人-董仔,10,"表演藝術,趣味搞笑"
A,安啾咪,0,"美食料理,表演藝術"
A,關韶文,3,"美妝保養,趣味搞笑,表演藝術"
A,黃氏兄弟,11,"趣味搞笑,表演藝術"
A,恩熙俊-aka-MC-Jeng,0,美食料理
A,這群人TGOP,2,趣味搞笑
A,陳彥婷,1,趣味搞笑
A,我是阿樂-林妤臻,6,"遊戲電玩,表演藝術"
A,那那大師,0,趣味搞笑
A,魚乾,4,"寵物,遊戲電玩,趣味搞笑"
B,貓貓蟲-咖波,0,表演藝術
B,PEETA葛格,3,運動健身
B,黃大謙,1,趣味搞笑
B,阿滴英文,14,知識教育
B,HOOK,2,"寵物,旅遊,美食料理"
B,Evelyn-Chen-理科太太,1,"醫療健康,時事討論"
B,滴妹,30,"旅遊,美食料理,知識教育"
B,白癡公主,2,趣味搞笑
C,J-Bao賤葆,5,"趣味搞笑,旅遊"
C,鹿人,0,"表演藝術,趣味搞笑"
C,Onion-man-洋蔥先生與阿文,20,"表演藝術,趣味搞笑"
C,廚佛瑞德Fred,5,"美食料理,帶貨分潤"
C,千千進食中,9,美食料理
C,大蛇丸,0,趣味搞笑
C,志祺七七,1,"知識教育,時事討論,高階經理人"
C,木曜4超玩,2,旅遊
D,飽妮,3,影視評論
D,魔術Channel---Davio,1,表演藝術
D,紀卜心-Kimi,1,"美妝保養,時尚潮流,旅遊"
D,Sandy-&-Mandy,0,表演藝術
D,這群人-尼克,1,"趣味搞笑,表演藝術"
D,一隻阿圓,32,"美妝保養,時尚潮流,旅遊"
D,那個女生-Kiki,0,"美食料理,知識教育"
D,見習網美小吳,4,"美妝保養,趣味搞笑"
E,阿翰po影片,0,趣味搞笑
E,Ian&Eric,5,"旅遊,趣味搞笑"
E,元-元,2,時尚潮流
E,3cTim哥生活的日常,1,3C科技
E,小尾巴,0,"表演藝術,遊戲電玩,趣味搞笑"
E,Joeman,3,"美食料理,3C科技,趣味搞笑"
F,How-Fun-如何爽,2,趣味搞笑
F,廉傑克曼,2,遊戲電玩
F,鐵牛-Ironbull,2,"遊戲電玩,趣味搞笑"
F,蔡哥,10,"表演藝術,趣味搞笑"
F,尤汐伯夷,2,遊戲電玩
F,我得了一種吃菜就會死的病-微疼,0,"表演藝術,趣味搞笑"
G,琳妲-林羿禎,1,"表演藝術,趣味搞笑"
G,小A辣,2,趣味搞笑
G,林進-飛醺卑鄙-fashion-baby,2,趣味搞笑
G,羚小鹿,5,"美妝保養,旅遊,表演藝術"
G,Sunnie-陸筱晴,1,"美妝保養,時尚潮流,旅遊,美食料理"
H,HahaTai-哈哈台,1,趣味搞笑
H,江老師,3,"表演藝術,時尚潮流,家庭母嬰"
H,卡特-Kart,0,"美妝保養,時尚潮流"
H,崔&雪莉&Jon,1,影視評論
I,嘎嫂二伯,49,"旅遊,家庭母嬰"
I,蔡桃貴,1,"家庭母嬰,趣味搞笑"
I,蔡阿嘎,146,趣味搞笑
J,喪屍老爸,0,"家庭母嬰,趣味搞笑"
J,咪妃Julia,1,"遊戲電玩,表演藝術,趣味搞笑"
J,鵝鵝就是鵝鵝,3,汽機車
K,黃小米-Mii,1,"美妝保養,時尚潮流,旅遊"
K,77老大,0,"醫療健康,知識教育"
L,健人蓋伊,1,運動健身
L,人類超有病-Baxuan,0,"表演藝術,趣味搞笑"
M,阿啾繪圖同萌,1,"表演藝術,趣味搞笑"
M,啾啾妹-by-LIIN,0,"趣味搞笑,設計創作"
N,上發條俱樂部,24,"家庭母嬰,寵物,帶貨分潤"
N,連環泡有芒果,0,"美食料理,寵物,趣味搞笑"
O,我是老爸-我不要當爸!,0,"旅遊,美食料理"
O,Men's-Game-玩物誌,1,3C科技
P,Six-Wang,0,遊戲電玩
P,現在宅知道,1,遊戲電玩
Q,閃電狼Flash-Wolves,0,遊戲電玩
Q,小葵-XiaoKui,3,遊戲電玩
R,台灣吧,0,"知識教育,理財創業"
R,Mom-&-Dad,2,家庭母嬰
