Group,Person_Name,In_Degree (被標記數),Category
A,嘎嫂二伯,49,"旅遊,家庭母嬰"
A,蔡桃貴,1,"家庭母嬰,趣味搞笑"
A,蔡阿嘎,146,趣味搞笑
B,胡子Huz,0,趣味搞笑
B,三個麻瓜,0,影視評論
B,有璟妍精요찡옌찡,1,"旅遊,美食料理"
B,囂搞-Shaogao,0,"表演藝術,趣味搞笑"
B,Aries艾瑞絲,2,"美食料理,表演藝術,趣味搞笑"
B,瑀熙-Yuci,1,"旅遊,遊戲電玩"
B,Bobo-TV,1,寵物
B,Candy-孟潔,0,時尚潮流
B,蕭志瑋,0,"表演藝術,趣味搞笑"
B,GINA-HELLO!,0,"美妝保養,時尚潮流,旅遊"
B,彼得爸與蘇珊媽,1,"旅遊,家庭母嬰,帶貨分潤"
B,Yun-Chou,0,家庭母嬰
B,這群人-董仔,10,"表演藝術,趣味搞笑"
B,安啾咪,0,"美食料理,表演藝術"
B,關韶文,3,"美妝保養,趣味搞笑,表演藝術"
B,黃氏兄弟,11,"趣味搞笑,表演藝術"
B,恩熙俊-aka-MC-Jeng,0,美食料理
B,這群人TGOP,2,趣味搞笑
B,陳彥婷,1,趣味搞笑
B,我是阿樂-林妤臻,6,"遊戲電玩,表演藝術"
B,那那大師,0,趣味搞笑
B,魚乾,4,"寵物,遊戲電玩,趣味搞笑"
C,飽妮,3,影視評論
C,魔術Channel---Davio,1,表演藝術
C,Sandy-&-Mandy,0,表演藝術
C,這群人-尼克,1,"趣味搞笑,表演藝術"
C,那個女生-Kiki,0,"美食料理,知識教育"
C,紀卜心-Kimi,1,"美妝保養,時尚潮流,旅遊"
C,見習網美小吳,4,"美妝保養,趣味搞笑"
C,一隻阿圓,32,"美妝保養,時尚潮流,旅遊"
D,黃小米-Mii,1,"美妝保養,時尚潮流,旅遊"
D,77老大,0,"醫療健康,知識教育"
E,貓貓蟲-咖波,0,表演藝術
E,PEETA葛格,3,運動健身
E,阿滴英文,14,知識教育
E,HOOK,2,"寵物,旅遊,美食料理"
E,滴妹,30,"旅遊,美食料理,知識教育"
E,Evelyn-Chen-理科太太,1,"醫療健康,時事討論"
E,黃大謙,1,趣味搞笑
E,志祺七七,1,"知識教育,時事討論,高階經理人"
E,白癡公主,2,趣味搞笑
F,How-Fun-如何爽,2,趣味搞笑
F,廉傑克曼,2,遊戲電玩
F,鐵牛-Ironbull,2,"遊戲電玩,趣味搞笑"
F,蔡哥,10,"表演藝術,趣味搞笑"
F,尤汐伯夷,2,遊戲電玩
F,我得了一種吃菜就會死的病-微疼,0,"表演藝術,趣味搞笑"
G,健人蓋伊,1,運動健身
G,人類超有病-Baxuan,0,"表演藝術,趣味搞笑"
H,HahaTai-哈哈台,1,趣味搞笑
H,江老師,3,"表演藝術,時尚潮流,家庭母嬰"
H,卡特-Kart,0,"美妝保養,時尚潮流"
H,崔&雪莉&Jon,1,影視評論
I,阿啾繪圖同萌,1,"表演藝術,趣味搞笑"
I,啾啾妹-by-LIIN,0,"趣味搞笑,設計創作"
J,上發條俱樂部,24,"家庭母嬰,寵物,帶貨分潤"
J,連環泡有芒果,0,"美食料理,寵物,趣味搞笑"
K,Men's-Game-玩物誌,1,3C科技
K,我是老爸-我不要當爸!,0,"旅遊,美食料理"
L,Six-Wang,0,遊戲電玩
L,現在宅知道,1,遊戲電玩
M,閃電狼Flash-Wolves,0,遊戲電玩
M,小葵-XiaoKui,3,遊戲電玩
N,Sunnie-陸筱晴,1,"美妝保養,時尚潮流,旅遊,美食料理"
N,琳妲-林羿禎,1,"表演藝術,趣味搞笑"
N,小A辣,2,趣味搞笑
N,羚小鹿,5,"美妝保養,旅遊,表演藝術"
N,林進-飛醺卑鄙-fashion-baby,2,趣味搞笑
O,千千進食中,9,美食料理
O,Ian&Eric,5,"旅遊,趣味搞笑"
O,J-Bao賤葆,5,"趣味搞笑,旅遊"
O,小尾巴,0,"表演藝術,遊戲電玩,趣味搞笑"
O,阿翰po影片,0,趣味搞笑
O,Onion-man-洋蔥先生與阿文,20,"表演藝術,趣味搞笑"
O,廚佛瑞德Fred,5,"美食料理,帶貨分潤"
O,元-元,2,時尚潮流
O,3cTim哥生活的日常,1,3C科技
O,鹿人,0,"表演藝術,趣味搞笑"
O,大蛇丸,0,趣味搞笑
O,Joeman,3,"美食料理,3C科技,趣味搞笑"
O,木曜4超玩,2,旅遊
P,台灣吧,0,"知識教育,理財創業"
P,Mom-&-Dad,2,家庭母嬰
Q,喪屍老爸,0,"家庭母嬰,趣味搞笑"
Q,咪妃Julia,1,"遊戲電玩,表演藝術,趣味搞笑"
Q,鵝鵝就是鵝鵝,3,汽機車
