creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-13 06:34:07+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,1048475158338432,1048475158338432,{'0': '927708152277078'},2025-01-13 14:34:07+08:00
2025-03-04 06:21:14+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,2903949726469900,2903949726469900,"{'0': 'non_public_1375604124111200', '1': 'non_public_1830647721136187'}",2025-03-04 14:21:14+08:00
2025-05-05 11:00:00+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,2702414040097016,2702414040097016,{'0': '1159080549636516'},2025-05-05 19:00:00+08:00
2025-06-11 11:15:03+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,5193414847464395,5193414847464395,{'0': '1278543140780514'},2025-06-11 19:15:03+08:00
2025-06-13 11:01:21+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,1815672289139651,1815672289139651,{'0': '1649451502286756'},2025-06-13 19:01:21+08:00
2025-07-13 12:23:55+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,2125237224910080,2125237224910080,"{'0': 'non_public_1375604124111200', '1': 'non_public_1830647721136187'}",2025-07-13 20:23:55+08:00
2025-08-11 11:30:00+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,4201980690052049,4201980690052049,{'0': '1937114550566022'},2025-08-11 19:30:00+08:00
2025-09-23 13:00:00+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,4306490176344927,4306490176344927,{'0': '1323616323139489'},2025-09-23 21:00:00+08:00
2025-10-13 14:01:09+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,2580243449013542,2580243449013542,{'0': '1212124477234984'},2025-10-13 22:01:09+08:00
2025-12-23 06:28:16+00:00,1083978156679841,那對夫妻Nico&Kim,1006nk,1903391480334623,1903391480334623,{'0': '1159080549636516'},2025-12-23 14:28:16+08:00
