creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-02-07 05:25:51+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1616047336094765,1616047336094765,{'0': '524300206629920'},2025-02-07 13:25:51+08:00
2025-02-20 11:32:03+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1239879777580553,1239879777580553,{'0': '3138167172989593'},2025-02-20 19:32:03+08:00
2025-03-04 12:03:02+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1207448171158988,1207448171158988,{'0': '7895461110543850'},2025-03-04 20:03:02+08:00
2025-03-08 04:31:27+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1440046200497385,1440046200497385,{'0': '857315423379085'},2025-03-08 12:31:27+08:00
2025-03-30 04:41:50+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1274924217894861,1274924217894861,{'0': '906335582138207'},2025-03-30 12:41:50+08:00
2025-04-10 11:54:15+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,919222237179634,919222237179634,{'0': '3138167172989593'},2025-04-10 19:54:15+08:00
2025-04-25 08:00:41+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1542291976855907,1542291976855907,{'0': 'non_public_871485832603174'},2025-04-25 16:00:41+08:00
2025-04-27 11:43:23+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1224088496479821,1224088496479821,{'0': '3138167172989593'},2025-04-27 19:43:23+08:00
2025-04-30 11:55:36+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1720253395613999,1720253395613999,"{'0': '759387540263737', '1': '3352685911551987', '2': '1265583332005977', '3': '1117923129934359', '4': '585323127704778', '5': '873563701282749', '6': '1765678414227605', '7': '1659893505181884', '8': '7200581929997622', '9': '596815482750685', '10': '1186456770141174'}",2025-04-30 19:55:36+08:00
2025-05-08 10:09:19+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,902884562460439,902884562460439,{'0': '1436490523911133'},2025-05-08 18:09:19+08:00
2025-05-20 15:01:59+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,885671970962180,885671970962180,{'0': 'non_public_1830647721136187'},2025-05-20 23:01:59+08:00
2025-05-22 11:20:04+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,26178128908542192,26178128908542191,"{'0': '514980380885598', '1': '1859396491402666'}",2025-05-22 19:20:04+08:00
2025-06-15 06:01:40+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1980206422872871,1980206422872871,{'0': 'non_public_1286851246380262'},2025-06-15 14:01:40+08:00
2025-06-22 04:54:13+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,25594894386849560,25594894386849557,{'0': '1763684434246966'},2025-06-22 12:54:13+08:00
2025-06-28 04:42:11+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,25744984575173960,25744984575173964,"{'0': '2115272222639737', '1': '1482503646917098'}",2025-06-28 12:42:11+08:00
2025-06-30 12:00:51+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1381808073631882,1381808073631882,{'0': '3323754781103170'},2025-06-30 20:00:51+08:00
2025-07-03 11:33:21+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1436649558055583,1436649558055583,{'0': '3138167172989593'},2025-07-03 19:33:21+08:00
2025-07-18 09:10:36+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,940045021793485,940045021793485,{'0': 'non_public_1286851246380262'},2025-07-18 17:10:36+08:00
2025-08-05 04:49:36+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1450339566487222,1450339566487222,{'0': '1231282245770019'},2025-08-05 12:49:36+08:00
2025-08-26 11:00:00+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,25846509078303800,25846509078303795,{'0': '760124330478842'},2025-08-26 19:00:00+08:00
2025-08-28 12:59:38+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1918338622386496,1918338622386496,"{'0': 'non_public_2341099210838121', '1': '1369769311136377', '2': '3802358906660191'}",2025-08-28 20:59:38+08:00
2025-09-09 11:10:48+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1221341756731464,1221341756731464,{'0': '483656284126706'},2025-09-09 19:10:48+08:00
2025-09-29 13:15:15+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1494345115588185,1494345115588185,"{'0': '847583694863086', '1': 'non_public_772181609099176', '2': 'non_public_1857862548405835', '3': 'non_public_783160130767767', '4': '1804168640987915', '5': '945812537609472'}",2025-09-29 21:15:15+08:00
2025-10-05 12:19:50+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,945763111225363,945763111225363,{'0': 'non_public_1678258209985775'},2025-10-05 20:19:50+08:00
2025-10-21 11:14:45+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,809805538055634,809805538055634,{'0': '3138167172989593'},2025-10-21 19:14:45+08:00
2025-10-24 14:40:46+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1221313673545392,1221313673545392,{'0': '2663028544056560'},2025-10-24 22:40:46+08:00
2025-10-27 09:30:00+00:00,943324384385470,林瑄 SHIUAN,1_shiuan_0,1181003584106860,1181003584106860,"{'0': 'non_public_1456329579468871', '1': '2663028544056560'}",2025-10-27 17:30:00+08:00
