creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-01 12:29:46+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1215850117368168,1215850117368168,{'0': '1111950897557090'},2025-01-01 20:29:46+08:00
2025-04-03 08:26:07+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1540389540369600,1540389540369600,{'0': '1652593295889251'},2025-04-03 16:26:07+08:00
2025-04-10 10:48:51+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1334023362079361,1334023362079361,{'0': '1652593295889251'},2025-04-10 18:48:51+08:00
2025-04-24 11:21:54+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,2111130023010915,2111130023010915,{'0': '1592945838496240'},2025-04-24 19:21:54+08:00
2025-06-09 13:59:29+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,2307900489684907,2307900489684907,{'0': '1649451502286756'},2025-06-09 21:59:29+08:00
2025-06-26 09:47:13+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,931129952749434,931129952749434,{'0': '1283751533815839'},2025-06-26 17:47:13+08:00
2025-07-04 13:00:28+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1970056833864356,1970056833864356,{'0': '4282245138722852'},2025-07-04 21:00:28+08:00
2025-08-11 03:41:54+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1265748802164081,1265748802164081,{'0': '597629509369609'},2025-08-11 11:41:54+08:00
2025-08-30 12:21:35+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1649392182757148,1649392182757148,{'0': '597629509369609'},2025-08-30 20:21:35+08:00
2025-10-14 09:00:00+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1957228228506313,1957228228506313,{'0': '875549751860215'},2025-10-14 17:00:00+08:00
2025-10-30 08:47:44+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1244557107118574,1244557107118574,"{'0': '1936054103585457', '1': '597629509369609'}",2025-10-30 16:47:44+08:00
2025-10-31 11:10:14+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1436905111501600,1436905111501600,{'0': '836703398850602'},2025-10-31 19:10:14+08:00
2025-11-02 12:51:43+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,2389882638124668,2389882638124668,"{'0': '2069857747258996', '1': '836703398850602'}",2025-11-02 20:51:43+08:00
2025-11-21 09:50:46+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1828205674561990,1828205674561990,"{'0': '1440554567483139', '1': '923394110058457'}",2025-11-21 17:50:46+08:00
2025-11-26 11:13:03+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1450571913434942,1450571913434942,"{'0': '1936054103585457', '1': '1440554567483139', '2': '923394110058457', '3': '597629509369609'}",2025-11-26 19:13:03+08:00
2025-12-04 10:20:47+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,1343680884331924,1343680884331924,"{'0': '1936054103585457', '1': '1676817473328789', '2': '597629509369609'}",2025-12-04 18:20:47+08:00
2025-12-18 12:13:02+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,848393481584784,848393481584784,"{'0': '326266920473087', '1': '1101366351086733', '2': '1105288091296868', '3': '2228706500996545', '4': '1632793224735310', '5': '1582652542512915', '6': '597629509369609', '7': '1055597603320478', '8': '1280881200595767', '9': '500304099702023', '10': '442816181752832'}",2025-12-18 20:13:02+08:00
2025-12-29 06:29:43+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,938787828586851,938787828586851,"{'0': '1894660817935969', '1': '1936054103585457', '2': '1411911193845172', '3': '597629509369609'}",2025-12-29 14:29:43+08:00
2025-12-30 10:01:10+00:00,3681804055447654,我是阿樂🐹林妤臻🎏,alephant_0427,797309436752196,797309436752196,{'0': '1594825808453277'},2025-12-30 18:01:10+08:00
