creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-05-09 09:56:03+00:00,395212179971878,魚乾,annie72127,1096737739213626,1096737739213626,"{'0': '1555961389021643', '1': '935142322043033', '2': '1986648182247541'}",2025-05-09 17:56:03+08:00
2025-05-25 09:16:22+00:00,395212179971878,魚乾,annie72127,1222120832809417,1222120832809417,"{'0': 'non_public_2107499923342948', '1': '2706367739705352'}",2025-05-25 17:16:22+08:00
2025-06-02 11:52:14+00:00,395212179971878,魚乾,annie72127,2180396886105487,2180396886105487,"{'0': 'non_public_2107499923342948', '1': '2706367739705352'}",2025-06-02 19:52:14+08:00
2025-06-13 10:25:17+00:00,395212179971878,魚乾,annie72127,1223136579931531,1223136579931531,{'0': '897196706396457'},2025-06-13 18:25:17+08:00
2025-06-18 12:43:58+00:00,395212179971878,魚乾,annie72127,3802788276523209,3802788276523209,"{'0': '765457609452372', '1': 'non_public_2107499923342948', '2': '2706367739705352'}",2025-06-18 20:43:58+08:00
2025-07-12 11:30:36+00:00,395212179971878,魚乾,annie72127,2096040934478727,2096040934478727,"{'0': '1082460613490956', '1': '1101366351086733', '2': '1105288091296868', '3': '632501699508008', '4': '1542134913560430', '5': '1622519798669219', '6': '1643258476540249'}",2025-07-12 19:30:36+08:00
2025-08-29 09:36:57+00:00,395212179971878,魚乾,annie72127,2325175647964951,2325175647964951,{'0': '1592945838496240'},2025-08-29 17:36:57+08:00
2025-09-16 10:25:48+00:00,395212179971878,魚乾,annie72127,1296079659010922,1296079659010922,"{'0': '804920848279866', '1': '1216911300574023', '2': '4271470653119879', '3': 'non_public_2107499923342948', '4': '2770060156530037', '5': '2706367739705352'}",2025-09-16 18:25:48+08:00
2025-10-29 10:10:57+00:00,395212179971878,魚乾,annie72127,773849145188845,773849145188845,{'0': '877501715256736'},2025-10-29 18:10:57+08:00
2025-11-05 10:05:02+00:00,395212179971878,魚乾,annie72127,908781908183178,908781908183178,{'0': '1627559211755326'},2025-11-05 18:05:02+08:00
2025-11-29 06:13:34+00:00,395212179971878,魚乾,annie72127,867102296126998,867102296126998,{'0': '1432745054903610'},2025-11-29 14:13:34+08:00
2025-12-02 07:09:18+00:00,395212179971878,魚乾,annie72127,1275007244689330,1275007244689330,{'0': '1432745054903610'},2025-12-02 15:09:18+08:00
