creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-04 12:45:55+00:00,1058893929746062,Aries艾瑞絲,aries_8248,893834959671915,893834959671915,"{'0': '1479390230384794', '1': '1228827655929422', '2': '1432779974869241'}",2025-01-04 20:45:55+08:00
2025-01-05 10:03:55+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1897819524459922,1897819524459922,{'0': '914022871597355'},2025-01-05 18:03:55+08:00
2025-01-08 10:40:36+00:00,1058893929746062,Aries艾瑞絲,aries_8248,2047609089148831,2047609089148831,"{'0': '657655350736914', '1': '914022871597355'}",2025-01-08 18:40:36+08:00
2025-01-10 10:23:40+00:00,1058893929746062,Aries艾瑞絲,aries_8248,25964794263155752,25964794263155751,{'0': '1364425075730412'},2025-01-10 18:23:40+08:00
2025-01-12 10:03:56+00:00,1058893929746062,Aries艾瑞絲,aries_8248,33549580157989700,33549580157989699,{'0': '914022871597355'},2025-01-12 18:03:56+08:00
2025-01-15 10:06:52+00:00,1058893929746062,Aries艾瑞絲,aries_8248,2564545867278069,2564545867278069,{'0': '914022871597355'},2025-01-15 18:06:52+08:00
2025-01-16 09:59:36+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1491083706350454,1491083706350454,{'0': '914022871597355'},2025-01-16 17:59:36+08:00
2025-01-19 10:19:39+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1656340498858644,1656340498858644,{'0': '914022871597355'},2025-01-19 18:19:39+08:00
2025-01-23 10:08:51+00:00,1058893929746062,Aries艾瑞絲,aries_8248,894067700253193,894067700253193,"{'0': '885702400926927', '1': '1615693672950274'}",2025-01-23 18:08:51+08:00
2025-01-25 10:05:41+00:00,1058893929746062,Aries艾瑞絲,aries_8248,844822378595600,844822378595600,{'0': '914022871597355'},2025-01-25 18:05:41+08:00
2025-01-26 10:22:04+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1348126550448324,1348126550448324,"{'0': 'non_public_1401309198066068', '1': '1888146105158358', '2': '914022871597355', '3': '469948262341572'}",2025-01-26 18:22:04+08:00
2025-01-27 09:29:04+00:00,1058893929746062,Aries艾瑞絲,aries_8248,10012920918831540,10012920918831543,"{'0': '914022871597355', '1': '1069124071979941'}",2025-01-27 17:29:04+08:00
2025-01-31 09:56:26+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1343666614114307,1343666614114307,{'0': '2922595394600718'},2025-01-31 17:56:26+08:00
2025-02-01 10:20:38+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1439765217663696,1439765217663696,{'0': '914022871597355'},2025-02-01 18:20:38+08:00
2025-02-11 11:00:00+00:00,1058893929746062,Aries艾瑞絲,aries_8248,2009645526563154,2009645526563154,{'0': '897751029805470'},2025-02-11 19:00:00+08:00
2025-02-13 10:37:31+00:00,1058893929746062,Aries艾瑞絲,aries_8248,2117256585688001,2117256585688001,"{'0': '629444545878407', '1': '657655350736914'}",2025-02-13 18:37:31+08:00
2025-02-18 08:12:26+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1507882266974978,1507882266974978,{'0': '1698733697684416'},2025-02-18 16:12:26+08:00
2025-03-03 09:26:30+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1341553674407048,1341553674407048,{'0': '1069124071979941'},2025-03-03 17:26:30+08:00
2025-03-09 09:47:21+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1417328766464355,1417328766464355,{'0': '1225162899589799'},2025-03-09 17:47:21+08:00
2025-03-11 09:27:48+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1229482918545603,1229482918545603,{'0': '1239796464329498'},2025-03-11 17:27:48+08:00
2025-03-12 10:26:44+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1543055710128473,1543055710128473,{'0': '1239796464329498'},2025-03-12 18:26:44+08:00
2025-03-13 09:18:10+00:00,1058893929746062,Aries艾瑞絲,aries_8248,1628026525038834,1628026525038834,{'0': '1239796464329498'},2025-03-13 17:18:10+08:00
2025-03-15 12:16:58+00:00,1058893929746062,Aries艾瑞絲,aries_8248,928987016132165,928987016132165,{'0': '1571882367378232'},2025-03-15 20:16:58+08:00
