creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-01 12:51:07+00:00,478937534652725,BoBo TV,bobo_kira,928025982955160,928025982955160,{'0': '947732797830007'},2025-01-01 20:51:07+08:00
2025-01-05 04:37:38+00:00,478937534652725,BoBo TV,bobo_kira,1241887894155937,1241887894155937,{'0': '947732797830007'},2025-01-05 12:37:38+08:00
2025-01-06 12:23:30+00:00,478937534652725,BoBo TV,bobo_kira,922355933500097,922355933500097,{'0': '947732797830007'},2025-01-06 20:23:30+08:00
2025-01-14 08:55:06+00:00,478937534652725,BoBo TV,bobo_kira,913320974997286,913320974997286,{'0': '947732797830007'},2025-01-14 16:55:06+08:00
2025-01-18 10:39:22+00:00,478937534652725,BoBo TV,bobo_kira,677286852113719,677286852113719,{'0': '947732797830007'},2025-01-18 18:39:22+08:00
2025-01-24 12:19:03+00:00,478937534652725,BoBo TV,bobo_kira,921767877385870,921767877385870,{'0': '947732797830007'},2025-01-24 20:19:03+08:00
2025-01-25 11:10:23+00:00,478937534652725,BoBo TV,bobo_kira,902323785891820,902323785891820,"{'0': '2166204197452575', '1': '947732797830007'}",2025-01-25 19:10:23+08:00
2025-01-31 03:11:46+00:00,478937534652725,BoBo TV,bobo_kira,2369145966885600,2369145966885600,{'0': '947732797830007'},2025-01-31 11:11:46+08:00
2025-02-01 08:46:34+00:00,478937534652725,BoBo TV,bobo_kira,1993475421603587,1993475421603587,{'0': '947732797830007'},2025-02-01 16:46:34+08:00
2025-02-03 11:01:24+00:00,478937534652725,BoBo TV,bobo_kira,26586182910999192,26586182910999187,{'0': '947732797830007'},2025-02-03 19:01:24+08:00
2025-02-06 09:42:26+00:00,478937534652725,BoBo TV,bobo_kira,1456728839416311,1456728839416311,"{'0': '947732797830007', '1': '1339512531543499'}",2025-02-06 17:42:26+08:00
2025-02-08 10:48:00+00:00,478937534652725,BoBo TV,bobo_kira,677494365421296,677494365421296,"{'0': '2166204197452575', '1': '947732797830007'}",2025-02-08 18:48:00+08:00
2025-02-11 08:02:13+00:00,478937534652725,BoBo TV,bobo_kira,1807784333225369,1807784333225369,"{'0': '2166204197452575', '1': '947732797830007'}",2025-02-11 16:02:13+08:00
2025-02-14 12:14:19+00:00,478937534652725,BoBo TV,bobo_kira,1979124142986534,1979124142986534,"{'0': '2166204197452575', '1': '947732797830007'}",2025-02-14 20:14:19+08:00
2025-02-16 13:13:53+00:00,478937534652725,BoBo TV,bobo_kira,753460997618231,753460997618231,{'0': '947732797830007'},2025-02-16 21:13:53+08:00
2025-02-18 09:34:33+00:00,478937534652725,BoBo TV,bobo_kira,1292574712686412,1292574712686412,{'0': '947732797830007'},2025-02-18 17:34:33+08:00
2025-02-24 12:30:02+00:00,478937534652725,BoBo TV,bobo_kira,922969477361378,922969477361378,"{'0': '2166204197452575', '1': '947732797830007'}",2025-02-24 20:30:02+08:00
