creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-16 11:53:15+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1967918227478186,1967918227478186,{'0': '1358331329401090'},2025-01-16 19:53:15+08:00
2025-01-20 13:50:36+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1247464080923891,1247464080923891,{'0': '1234387424689975'},2025-01-20 21:50:36+08:00
2025-02-21 08:12:47+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,2846680559000008,2846680559000008,{'0': '949006630888732'},2025-02-21 16:12:47+08:00
2025-02-21 08:17:07+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1906111873347553,1906111873347553,{'0': '949006630888732'},2025-02-21 16:17:07+08:00
2025-03-06 12:25:39+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1515852096565002,1515852096565002,"{'0': '1477795402882103', '1': '439169462380581'}",2025-03-06 20:25:39+08:00
2025-04-01 14:09:35+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1828978284456412,1828978284456412,{'0': '2388896871555434'},2025-04-01 22:09:35+08:00
2025-04-29 12:02:09+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,25891802407150360,25891802407150362,{'0': '2014095958994005'},2025-04-29 20:02:09+08:00
2025-06-06 09:30:00+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,928264432993330,928264432993330,"{'0': '1784246866298753', '1': '1265583332005977'}",2025-06-06 17:30:00+08:00
2025-06-16 11:00:00+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1536902367414488,1536902367414488,{'0': '2419249631848844'},2025-06-16 19:00:00+08:00
2025-09-08 09:43:34+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1998981457344827,1998981457344827,{'0': '439169462380581'},2025-09-08 17:43:34+08:00
2025-09-16 10:09:27+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,700696016462481,700696016462481,{'0': '934409212128148'},2025-09-16 18:09:27+08:00
2025-10-21 09:51:27+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1829252574460282,1829252574460282,"{'0': '1581934459698684', '1': '439169462380581'}",2025-10-21 17:51:27+08:00
2025-11-04 11:00:00+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1963189874273929,1963189874273929,"{'0': '1460128525532551', '1': '899101422748176', '2': '747950748363809', '3': '439169462380581', '4': '6271561769634329', '5': '1531516694409268'}",2025-11-04 19:00:00+08:00
2025-11-15 18:22:23+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1451780549950944,1451780549950944,"{'0': 'non_public_1934406634130195', '1': '439169462380581', '2': '2902304436602628', '3': '1339599831172449', '4': '2128008954697639', '5': '924949380027094', '6': '1446765660178671', '7': '1503372778052970'}",2025-11-16 02:22:23+08:00
2025-11-19 10:30:00+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,26082587204735200,26082587204735197,{'0': '2147452289329153'},2025-11-19 18:30:00+08:00
2025-11-20 10:42:01+00:00,2089176155201466,✨High咖-邱志恒✨嗨咖,children0704,1410730590531833,1410730590531833,{'0': '8931859326943415'},2025-11-20 18:42:01+08:00
