creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-01 04:53:56+00:00,2770060156530037,GINA HELLO,ginachiki,1440986934081279,1440986934081279,"{'0': '1037079651715379', '1': 'non_public_690116320731200', '2': '1090077758817314', '3': '594726473618362'}",2025-01-01 12:53:56+08:00
2025-01-25 08:16:30+00:00,2770060156530037,GINA HELLO,ginachiki,797531236074541,797531236074541,{'0': '1216911300574023'},2025-01-25 16:16:30+08:00
2025-01-30 10:28:35+00:00,2770060156530037,GINA HELLO,ginachiki,1942184426657144,1942184426657144,{'0': '7200581929997622'},2025-01-30 18:28:35+08:00
2025-02-11 13:03:58+00:00,2770060156530037,GINA HELLO,ginachiki,4340275509634155,4340275509634155,{'0': '2009078426617393'},2025-02-11 21:03:58+08:00
2025-02-19 04:11:43+00:00,2770060156530037,GINA HELLO,ginachiki,1440058691186552,1440058691186552,{'0': '219778224554608'},2025-02-19 12:11:43+08:00
2025-05-06 04:16:06+00:00,2770060156530037,GINA HELLO,ginachiki,2441438119608764,2441438119608764,{'0': '1455619459048187'},2025-05-06 12:16:06+08:00
2025-06-29 06:30:00+00:00,2770060156530037,GINA HELLO,ginachiki,2198894943975755,2198894943975755,"{'0': '464888019562126', '1': '906625259035825'}",2025-06-29 14:30:00+08:00
2025-07-29 06:46:46+00:00,2770060156530037,GINA HELLO,ginachiki,912956277988155,912956277988155,{'0': 'non_public_2350795138735843'},2025-07-29 14:46:46+08:00
2025-09-25 12:20:00+00:00,2770060156530037,GINA HELLO,ginachiki,1109682741283770,1109682741283770,{'0': '1411742606921851'},2025-09-25 20:20:00+08:00
2025-10-13 05:51:51+00:00,2770060156530037,GINA HELLO,ginachiki,25678578428479660,25678578428479662,{'0': '1905977890025424'},2025-10-13 13:51:51+08:00
2025-10-17 11:14:19+00:00,2770060156530037,GINA HELLO,ginachiki,925535003458880,925535003458880,{'0': '1878404559462436'},2025-10-17 19:14:19+08:00
2025-12-18 07:08:26+00:00,2770060156530037,GINA HELLO,ginachiki,1635266897505861,1635266897505861,{'0': '7200581929997622'},2025-12-18 15:08:26+08:00
