creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-01 14:03:32+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,760618577106465,760618577106465,{'0': '845617975111288'},2025-01-01 22:03:32+08:00
2025-01-02 13:59:24+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,748232561676641,748232561676641,{'0': '1113352180830965'},2025-01-02 21:59:24+08:00
2025-01-03 15:06:00+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,938002168788480,938002168788480,{'0': '1439246184206859'},2025-01-03 23:06:00+08:00
2025-01-06 14:15:55+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1966072307640097,1966072307640097,{'0': '884469161175345'},2025-01-06 22:15:55+08:00
2025-01-08 13:49:22+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,945662804789309,945662804789309,{'0': '4381280425484603'},2025-01-08 21:49:22+08:00
2025-01-10 13:46:10+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,789406230138445,789406230138445,{'0': '922052537062684'},2025-01-10 21:46:10+08:00
2025-01-11 14:59:20+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1407051251196677,1407051251196677,{'0': '1245315610902802'},2025-01-11 22:59:20+08:00
2025-01-12 14:15:45+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,26475588402038560,26475588402038559,{'0': '979976341867117'},2025-01-12 22:15:45+08:00
2025-01-13 14:22:33+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,899545145797268,899545145797268,{'0': '1915369762685282'},2025-01-13 22:22:33+08:00
2025-01-14 14:25:46+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1816136975771477,1816136975771477,{'0': '1811328412844727'},2025-01-14 22:25:46+08:00
2025-01-17 13:54:57+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1765484710784307,1765484710784307,{'0': '1455334456186355'},2025-01-17 21:54:57+08:00
2025-01-18 14:13:55+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1619909269146473,1619909269146473,{'0': '1590085478707128'},2025-01-18 22:13:55+08:00
2025-01-19 14:09:40+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,25996508459943700,25996508459943702,{'0': '1275902717741819'},2025-01-19 22:09:40+08:00
2025-01-21 14:53:38+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1223869458592612,1223869458592612,{'0': '2341454936368039'},2025-01-21 22:53:38+08:00
2025-01-22 14:20:30+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1236961691731494,1236961691731494,{'0': '3055410857984704'},2025-01-22 22:20:30+08:00
2025-01-23 14:24:52+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,928815126373742,928815126373742,{'0': '1786181409435505'},2025-01-23 22:24:52+08:00
2025-01-24 14:15:14+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,752592884174251,752592884174251,{'0': '1563933411495187'},2025-01-24 22:15:14+08:00
2025-01-25 14:43:17+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1253661959996351,1253661959996351,{'0': '1254239703434819'},2025-01-25 22:43:17+08:00
2025-01-26 14:37:14+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,909803561629251,909803561629251,{'0': '867594016046814'},2025-01-26 22:37:14+08:00
2025-01-27 13:12:15+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,784830170645909,784830170645909,"{'0': '730032446632402', '1': '1013816067633094'}",2025-01-27 21:12:15+08:00
2025-01-29 13:04:53+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,783980244738928,783980244738928,{'0': '1245720014150818'},2025-01-29 21:04:53+08:00
2025-02-01 15:59:49+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1398618935051352,1398618935051352,{'0': '1970670613882334'},2025-02-01 23:59:49+08:00
2025-02-04 14:19:12+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1213605190933688,1213605190933688,{'0': '923447156885663'},2025-02-04 22:19:12+08:00
2025-02-05 15:09:06+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,923608033432957,923608033432957,{'0': '1990633781798372'},2025-02-05 23:09:06+08:00
2025-02-07 14:07:14+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1552398812690271,1552398812690271,{'0': '1244548307772157'},2025-02-07 22:07:14+08:00
2025-02-10 14:20:41+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,888513050590623,888513050590623,{'0': '899550139136819'},2025-02-10 22:20:41+08:00
2025-02-15 14:13:38+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,865577679652113,865577679652113,{'0': '1223052426585065'},2025-02-15 22:13:38+08:00
2025-02-16 14:18:29+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,25749507004677140,25749507004677144,{'0': '1805703650094984'},2025-02-16 22:18:29+08:00
2025-02-18 14:22:49+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1231250962293107,1231250962293107,{'0': '1506672177728219'},2025-02-18 22:22:49+08:00
2025-02-24 14:33:21+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1183528927103970,1183528927103970,{'0': '869214769215352'},2025-02-24 22:33:21+08:00
2025-02-25 14:06:51+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1121450486669000,1121450486669000,{'0': '1429685538590658'},2025-02-25 22:06:51+08:00
2025-02-27 14:37:01+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1831024010892183,1831024010892183,{'0': '1107700951411716'},2025-02-27 22:37:01+08:00
2025-02-28 14:14:33+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,946529971378138,946529971378138,{'0': '1438550504629045'},2025-02-28 22:14:33+08:00
2025-03-03 14:31:24+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1568644164343872,1568644164343872,{'0': '924359110026199'},2025-03-03 22:31:24+08:00
2025-03-04 13:51:15+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,728816133641737,728816133641737,{'0': '1436004611591042'},2025-03-04 21:51:15+08:00
2025-03-05 14:22:41+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,929908589473297,929908589473297,{'0': '1390039862423584'},2025-03-05 22:22:41+08:00
2025-03-08 13:54:33+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1275065621131521,1275065621131521,{'0': '33654310947545759'},2025-03-08 21:54:33+08:00
2025-03-10 14:20:15+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,865942136305958,865942136305958,{'0': '927009326434846'},2025-03-10 22:20:15+08:00
2025-03-11 15:12:41+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1577708253540888,1577708253540888,{'0': '871043552481391'},2025-03-11 23:12:41+08:00
2025-03-12 13:59:49+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1952396632012196,1952396632012196,{'0': '890205170426184'},2025-03-12 21:59:49+08:00
2025-03-13 13:33:00+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1280353430599774,1280353430599774,{'0': '2142566063184411'},2025-03-13 21:33:00+08:00
2025-03-15 13:46:50+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1944772513083499,1944772513083499,{'0': '897835182626018'},2025-03-15 21:46:50+08:00
2025-03-18 14:23:27+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1239754138094646,1239754138094646,{'0': 'non_public_1397126242428352'},2025-03-18 22:23:27+08:00
2025-03-20 14:25:26+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,26229523066684660,26229523066684665,{'0': '1231852455569460'},2025-03-20 22:25:26+08:00
2025-03-22 14:10:51+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,752258714215389,752258714215389,{'0': '1682402912935799'},2025-03-22 22:10:51+08:00
2025-03-24 14:32:21+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,862037133492653,862037133492653,{'0': '1666169317680210'},2025-03-24 22:32:21+08:00
2025-03-26 13:45:55+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,4355705358084365,4355705358084365,{'0': '1264793172165576'},2025-03-26 21:45:55+08:00
2025-03-27 14:22:06+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,922912393556069,922912393556069,{'0': '1607474147059149'},2025-03-27 22:22:06+08:00
2025-03-28 13:48:11+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1262709125728736,1262709125728736,{'0': '2239246733265376'},2025-03-28 21:48:11+08:00
2025-03-29 13:49:34+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,882472478006422,882472478006422,{'0': '989120874285475'},2025-03-29 21:49:34+08:00
2025-03-31 14:04:03+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,899210996385535,899210996385535,{'0': '900430822481536'},2025-03-31 22:04:03+08:00
2025-04-01 13:41:34+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1227390755492868,1227390755492868,{'0': '1127906316000581'},2025-04-01 21:41:34+08:00
2025-04-02 13:57:34+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,914036131079298,914036131079298,{'0': '912639177917786'},2025-04-02 21:57:34+08:00
2025-04-05 13:10:40+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,898150126271144,898150126271144,{'0': '915758634238577'},2025-04-05 21:10:40+08:00
2025-04-06 13:26:07+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1207951928153000,1207951928153000,{'0': '25954844897509790'},2025-04-06 21:26:07+08:00
2025-04-07 14:01:44+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,1674404533572948,1674404533572948,"{'0': '2290978728069893', '1': '926387108944490'}",2025-04-07 22:01:44+08:00
2025-04-08 13:56:34+00:00,386199550944764,虎麗笑嗨嗨 高雄美食,hooleefun,4281436592135781,4281436592135781,{'0': 'non_public_1775759426717181'},2025-04-08 21:56:34+08:00
