creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-04 10:36:50+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1582669643007870,1582669643007870,"{'0': '1417631140091143', '1': '2038640243752842'}",2025-01-04 18:36:50+08:00
2025-01-17 06:13:35+00:00,441043304971045,鐵牛 Ironbull,ironbullim,908851535113257,908851535113257,"{'0': 'non_public_1647049232968959', '1': '762933533073399', '2': '3925446201076704', '3': '1598357264533191'}",2025-01-17 14:13:35+08:00
2025-04-06 07:39:35+00:00,441043304971045,鐵牛 Ironbull,ironbullim,900285759577359,900285759577359,"{'0': '1417631140091143', '1': '2038640243752842', '2': '26465543903031841'}",2025-04-06 15:39:35+08:00
2025-04-07 10:18:12+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1343352834495410,1343352834495410,"{'0': 'non_public_1647049232968959', '1': '762933533073399', '2': '934007579176759', '3': '3925446201076704'}",2025-04-07 18:18:12+08:00
2025-04-08 11:03:36+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1451322636785759,1451322636785759,"{'0': '1417631140091143', '1': '1286576036831247'}",2025-04-08 19:03:36+08:00
2025-05-03 07:21:05+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1626119015482324,1626119015482324,"{'0': '1586123892577416', '1': '2038640243752842', '2': '2902304436602628', '3': '1575807403854673'}",2025-05-03 15:21:05+08:00
2025-05-19 09:07:28+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1487176576161260,1487176576161260,"{'0': '1143574337769744', '1': '2038640243752842'}",2025-05-19 17:07:28+08:00
2025-06-02 06:56:03+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1387385386522618,1387385386522618,{'0': '1262760779120693'},2025-06-02 14:56:03+08:00
2025-07-02 12:00:00+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1453701739500423,1453701739500423,"{'0': '1417631140091143', '1': '2038640243752842'}",2025-07-02 20:00:00+08:00
2025-07-25 13:52:12+00:00,441043304971045,鐵牛 Ironbull,ironbullim,2118675362251850,2118675362251850,{'0': '1566372611237483'},2025-07-25 21:52:12+08:00
2025-08-08 09:40:37+00:00,441043304971045,鐵牛 Ironbull,ironbullim,25572160729147200,25572160729147198,"{'0': '1417631140091143', '1': '2038640243752842'}",2025-08-08 17:40:37+08:00
2025-08-21 08:06:00+00:00,441043304971045,鐵牛 Ironbull,ironbullim,1969955760399344,1969955760399344,"{'0': '920871610560103', '1': '1598478981177004'}",2025-08-21 16:06:00+08:00
2025-10-19 04:53:56+00:00,441043304971045,鐵牛 Ironbull,ironbullim,926378656415317,926378656415317,"{'0': '1417631140091143', '1': '2038640243752842'}",2025-10-19 12:53:56+08:00
2025-12-09 09:05:15+00:00,441043304971045,鐵牛 Ironbull,ironbullim,4400741170210222,4400741170210222,"{'0': '4282245138722852', '1': '2589260631476795'}",2025-12-09 17:05:15+08:00
2025-12-28 07:58:54+00:00,441043304971045,鐵牛 Ironbull,ironbullim,2669824830069516,2669824830069516,"{'0': '888729480703277', '1': '4347714725549143'}",2025-12-28 15:58:54+08:00
