creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-04 05:10:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,1253246316719483,1253246316719483,{'0': 'non_public_914786584241149'},2025-01-04 13:10:00+08:00
2025-01-05 05:02:57+00:00,1808844029860687,一隻阿圓,nanaciaociao,1455217216219571,1455217216219571,{'0': 'non_public_903930078998757'},2025-01-05 13:02:57+08:00
2025-01-13 10:50:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,772953732512948,772953732512948,{'0': '1146259733505270'},2025-01-13 18:50:00+08:00
2025-01-15 10:30:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,3025105321210636,3025105321210636,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-15 18:30:00+08:00
2025-01-17 06:50:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,913157877721437,913157877721437,"{'0': '854113303896101', '1': 'non_public_903930078998757'}",2025-01-17 14:50:00+08:00
2025-01-18 06:50:38+00:00,1808844029860687,一隻阿圓,nanaciaociao,1410361370555535,1410361370555535,"{'0': 'non_public_914786584241149', '1': '854113303896101'}",2025-01-18 14:50:38+08:00
2025-01-24 08:28:45+00:00,1808844029860687,一隻阿圓,nanaciaociao,889548283997281,889548283997281,"{'0': '1184674916989124', '1': 'non_public_903930078998757'}",2025-01-24 16:28:45+08:00
2025-01-25 09:49:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,1197653512528506,1197653512528506,{'0': '1420377633084137'},2025-01-25 17:49:00+08:00
2025-01-27 10:50:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,873248908667670,873248908667670,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-27 18:50:00+08:00
2025-01-30 04:58:06+00:00,1808844029860687,一隻阿圓,nanaciaociao,1195512479234880,1195512479234880,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-30 12:58:06+08:00
2025-01-30 22:45:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,755317494308976,755317494308976,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-31 06:45:00+08:00
2025-02-01 04:40:36+00:00,1808844029860687,一隻阿圓,nanaciaociao,889100723731277,889100723731277,{'0': '25779370825088945'},2025-02-01 12:40:36+08:00
2025-02-13 10:45:00+00:00,1808844029860687,一隻阿圓,nanaciaociao,910808188574120,910808188574120,"{'0': '2173853496350216', '1': '1808681669842811'}",2025-02-13 18:45:00+08:00
2025-02-17 13:56:53+00:00,1808844029860687,一隻阿圓,nanaciaociao,4153402118211483,4153402118211483,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-02-17 21:56:53+08:00
2025-02-20 09:59:59+00:00,1808844029860687,一隻阿圓,nanaciaociao,1581811752969083,1581811752969083,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-02-20 17:59:59+08:00
