creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-08 13:02:08+00:00,1637758753694286,我是江老師,teacherchiang,1443466590438985,1443466590438985,{'0': '1419132479792160'},2025-01-08 21:02:08+08:00
2025-01-13 11:59:58+00:00,1637758753694286,我是江老師,teacherchiang,906064331957529,906064331957529,"{'0': '1248905470661297', '1': 'non_public_1203474268615299', '2': 'non_public_26205387549079759'}",2025-01-13 19:59:58+08:00
2025-01-14 13:00:00+00:00,1637758753694286,我是江老師,teacherchiang,901083605648830,901083605648830,{'0': '483656284126706'},2025-01-14 21:00:00+08:00
2025-01-16 04:45:38+00:00,1637758753694286,我是江老師,teacherchiang,583924027899038,583924027899038,"{'0': '749395891196968', '1': 'non_public_962261199601022', '2': '1527902924954565', '3': 'non_public_909924678678683', '4': '1176966703670585', '5': '1248905470661297', '6': 'non_public_26205387549079759'}",2025-01-16 12:45:38+08:00
2025-02-06 13:02:11+00:00,1637758753694286,我是江老師,teacherchiang,879551081562637,879551081562637,"{'0': '845002221289630', '1': '1458365585707785'}",2025-02-06 21:02:11+08:00
2025-02-07 13:01:19+00:00,1637758753694286,我是江老師,teacherchiang,1970077447196812,1970077447196812,{'0': '3526235154334687'},2025-02-07 21:01:19+08:00
2025-02-10 13:01:24+00:00,1637758753694286,我是江老師,teacherchiang,1225741912390936,1225741912390936,{'0': '1795724327927853'},2025-02-10 21:01:24+08:00
2025-02-11 13:01:39+00:00,1637758753694286,我是江老師,teacherchiang,764622929528436,764622929528436,{'0': '1206735404997824'},2025-02-11 21:01:39+08:00
2025-02-13 10:01:26+00:00,1637758753694286,我是江老師,teacherchiang,1448656309938049,1448656309938049,{'0': '671717749297412'},2025-02-13 18:01:26+08:00
2025-02-22 13:31:08+00:00,1637758753694286,我是江老師,teacherchiang,4549701428598931,4549701428598931,{'0': '856843416751079'},2025-02-22 21:31:08+08:00
2025-02-27 05:04:45+00:00,1637758753694286,我是江老師,teacherchiang,1638978363945916,1638978363945916,{'0': '4146120068988648'},2025-02-27 13:04:45+08:00
2025-03-14 13:19:38+00:00,1637758753694286,我是江老師,teacherchiang,1712283073100361,1712283073100361,"{'0': '1432501111871419', '1': 'non_public_1038314649355771'}",2025-03-14 21:19:38+08:00
2025-03-25 13:01:45+00:00,1637758753694286,我是江老師,teacherchiang,913438557846358,913438557846358,{'0': '1638843273776690'},2025-03-25 21:01:45+08:00
2025-03-26 12:52:37+00:00,1637758753694286,我是江老師,teacherchiang,1223571936627084,1223571936627084,{'0': '900124179602163'},2025-03-26 20:52:37+08:00
2025-03-29 14:15:42+00:00,1637758753694286,我是江老師,teacherchiang,1218753433187763,1218753433187763,{'0': '907727948379411'},2025-03-29 22:15:42+08:00
2025-04-11 13:03:05+00:00,1637758753694286,我是江老師,teacherchiang,941144291911559,941144291911559,{'0': '1695234794790728'},2025-04-11 21:03:05+08:00
2025-04-12 04:28:46+00:00,1637758753694286,我是江老師,teacherchiang,1216113070129907,1216113070129907,{'0': '1638843273776690'},2025-04-12 12:28:46+08:00
2025-04-15 13:02:03+00:00,1637758753694286,我是江老師,teacherchiang,1220792439593773,1220792439593773,"{'0': '279361885189253', '1': '1175875977185452', '2': 'non_public_25711059835189831', '3': '742474282086071'}",2025-04-15 21:02:03+08:00
2025-04-18 13:03:31+00:00,1637758753694286,我是江老師,teacherchiang,2107842656698597,2107842656698597,"{'0': '1547500453029162', '1': '845002221289630'}",2025-04-18 21:03:31+08:00
2025-04-19 03:06:59+00:00,1637758753694286,我是江老師,teacherchiang,1250023860316932,1250023860316932,{'0': '742474282086071'},2025-04-19 11:06:59+08:00
2025-04-28 13:31:50+00:00,1637758753694286,我是江老師,teacherchiang,2974631389401957,2974631389401957,"{'0': 'non_public_1404318951339484', '1': '279361885189253'}",2025-04-28 21:31:50+08:00
2025-05-05 13:03:41+00:00,1637758753694286,我是江老師,teacherchiang,1854182711898722,1854182711898722,"{'0': '1419132479792160', '1': '1638843273776690'}",2025-05-05 21:03:41+08:00
2025-05-08 10:09:54+00:00,1637758753694286,我是江老師,teacherchiang,1648584106555167,1648584106555167,{'0': '279361885189253'},2025-05-08 18:09:54+08:00
2025-05-08 13:14:22+00:00,1637758753694286,我是江老師,teacherchiang,1895781287702983,1895781287702983,{'0': '1913060249301003'},2025-05-08 21:14:22+08:00
2025-05-09 13:58:52+00:00,1637758753694286,我是江老師,teacherchiang,817411671306202,817411671306202,{'0': '279361885189253'},2025-05-09 21:58:52+08:00
2025-05-19 13:09:55+00:00,1637758753694286,我是江老師,teacherchiang,880501824819460,880501824819460,{'0': '1521682165601451'},2025-05-19 21:09:55+08:00
2025-05-22 10:23:39+00:00,1637758753694286,我是江老師,teacherchiang,926420457002934,926420457002934,"{'0': '1248905470661297', '1': '1804426086931143'}",2025-05-22 18:23:39+08:00
2025-05-26 13:02:50+00:00,1637758753694286,我是江老師,teacherchiang,866992755955307,866992755955307,{'0': '916970554083978'},2025-05-26 21:02:50+08:00
2025-05-27 13:02:09+00:00,1637758753694286,我是江老師,teacherchiang,1425800155873489,1425800155873489,"{'0': '279361885189253', '1': '1175875977185452', '2': 'non_public_25711059835189831', '3': '742474282086071'}",2025-05-27 21:02:09+08:00
2025-05-30 03:02:18+00:00,1637758753694286,我是江老師,teacherchiang,1756576515511714,1756576515511714,{'0': '1369666524006785'},2025-05-30 11:02:18+08:00
2025-06-03 12:59:44+00:00,1637758753694286,我是江老師,teacherchiang,834216312995101,834216312995101,"{'0': '1419132479792160', '1': '1549562689676017'}",2025-06-03 20:59:44+08:00
2025-06-04 13:02:28+00:00,1637758753694286,我是江老師,teacherchiang,1393402822534269,1393402822534269,{'0': '871748975703711'},2025-06-04 21:02:28+08:00
2025-06-10 13:04:08+00:00,1637758753694286,我是江老師,teacherchiang,1468912071505519,1468912071505519,"{'0': '1333689541851394', '1': '883169814678551'}",2025-06-10 21:04:08+08:00
2025-06-13 13:02:18+00:00,1637758753694286,我是江老師,teacherchiang,830440226686590,830440226686590,{'0': '668548326346628'},2025-06-13 21:02:18+08:00
2025-06-17 13:17:23+00:00,1637758753694286,我是江老師,teacherchiang,915382551275371,915382551275371,{'0': '938362702472820'},2025-06-17 21:17:23+08:00
2025-06-23 12:59:38+00:00,1637758753694286,我是江老師,teacherchiang,931939199267585,931939199267585,{'0': '4190933097819127'},2025-06-23 20:59:38+08:00
