creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2025-01-03 15:25:08+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1957597265185901,1957597265185901,{'0': '2651447821912554'},2025-01-03 23:25:08+08:00
2025-01-05 13:36:03+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,745297851643685,745297851643685,"{'0': '2651447821912554', '1': '1584865722470538'}",2025-01-05 21:36:03+08:00
2025-01-09 13:01:03+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,910388071454463,910388071454463,{'0': '262688493485484'},2025-01-09 21:01:03+08:00
2025-01-10 13:45:40+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,3317940649053461,3317940649053461,{'0': '2651447821912554'},2025-01-10 21:45:40+08:00
2025-01-12 16:13:51+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1182463636994668,1182463636994668,{'0': '2651447821912554'},2025-01-13 00:13:51+08:00
2025-01-13 12:52:57+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1192330699635902,1192330699635902,{'0': '1278543140780514'},2025-01-13 20:52:57+08:00
2025-01-16 13:08:22+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,2550136885403419,2550136885403419,{'0': '2651447821912554'},2025-01-16 21:08:22+08:00
2025-01-20 12:57:04+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1254103236639866,1254103236639866,{'0': '1011427844477286'},2025-01-20 20:57:04+08:00
2025-01-26 13:09:11+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,879123594907283,879123594907283,{'0': '1795724327927853'},2025-01-26 21:09:11+08:00
2025-01-27 16:24:30+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1220688346911236,1220688346911236,{'0': '2651447821912554'},2025-01-28 00:24:30+08:00
2025-02-02 13:24:16+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,844160561973331,844160561973331,{'0': '578122315355444'},2025-02-02 21:24:16+08:00
2025-02-04 13:31:21+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1210986377889088,1210986377889088,{'0': '2651447821912554'},2025-02-04 21:31:21+08:00
2025-02-05 10:02:50+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,751067214418460,751067214418460,{'0': '1127386279221449'},2025-02-05 18:02:50+08:00
2025-02-08 16:24:33+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1811446376020065,1811446376020065,{'0': '2651447821912554'},2025-02-09 00:24:33+08:00
2025-02-09 13:05:57+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,3362202900597320,3362202900597320,{'0': '4154842541404110'},2025-02-09 21:05:57+08:00
2025-02-10 12:43:35+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1849150009048396,1849150009048396,{'0': '2651447821912554'},2025-02-10 20:43:35+08:00
2025-02-12 13:05:25+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,2300941757049579,2300941757049579,{'0': '1063044458451816'},2025-02-12 21:05:25+08:00
2025-02-17 13:58:43+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,1407222434239556,1407222434239556,"{'0': '2651447821912554', '1': '922669586080759'}",2025-02-17 21:58:43+08:00
2025-02-18 16:24:29+00:00,1631660444113704,陳彥婷 Tiffany,thetiffanychen,2028535841038650,2028535841038650,{'0': '2651447821912554'},2025-02-19 00:24:29+08:00
