creation_time,post_owner.id,post_owner.name,post_owner.username,id,media_id,tags,creation_time_tw
2024-12-31 16:19:29+00:00,1101335794166874,蔡阿嘎,yga0721,2373904119741533,2373904119741533,{'0': '3007104719477326'},2025-01-01 00:19:29+08:00
2025-01-01 04:04:22+00:00,1101335794166874,蔡阿嘎,yga0721,1261264749196499,1261264749196499,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-01-01 12:04:22+08:00
2025-01-03 13:04:43+00:00,1101335794166874,蔡阿嘎,yga0721,1391040025446469,1391040025446469,{'0': '26275388795386732'},2025-01-03 21:04:43+08:00
2025-01-05 12:00:00+00:00,1101335794166874,蔡阿嘎,yga0721,825213347238686,825213347238686,{'0': '650495167222795'},2025-01-05 20:00:00+08:00
2025-01-06 03:56:40+00:00,1101335794166874,蔡阿嘎,yga0721,1460932138918279,1460932138918279,{'0': '1937114550566022'},2025-01-06 11:56:40+08:00
2025-01-06 11:48:41+00:00,1101335794166874,蔡阿嘎,yga0721,927066019741199,927066019741199,{'0': '650495167222795'},2025-01-06 19:48:41+08:00
2025-01-06 12:33:23+00:00,1101335794166874,蔡阿嘎,yga0721,1435500961616519,1435500961616519,{'0': '1257017152945631'},2025-01-06 20:33:23+08:00
2025-01-06 13:03:18+00:00,1101335794166874,蔡阿嘎,yga0721,900814659316900,900814659316900,{'0': '26275388795386732'},2025-01-06 21:03:18+08:00
2025-01-06 13:36:22+00:00,1101335794166874,蔡阿嘎,yga0721,2345753715933560,2345753715933560,{'0': '1257017152945631'},2025-01-06 21:36:22+08:00
2025-01-07 11:59:39+00:00,1101335794166874,蔡阿嘎,yga0721,1220563339578319,1220563339578319,{'0': '1257017152945631'},2025-01-07 19:59:39+08:00
2025-01-07 12:56:09+00:00,1101335794166874,蔡阿嘎,yga0721,786042677168901,786042677168901,{'0': '1319545913532609'},2025-01-07 20:56:09+08:00
2025-01-08 12:30:55+00:00,1101335794166874,蔡阿嘎,yga0721,2130096337823392,2130096337823392,{'0': '1257017152945631'},2025-01-08 20:30:55+08:00
2025-01-10 12:33:15+00:00,1101335794166874,蔡阿嘎,yga0721,1420619716263407,1420619716263407,{'0': '26275388795386732'},2025-01-10 20:33:15+08:00
2025-01-12 12:35:34+00:00,1101335794166874,蔡阿嘎,yga0721,1226932216214578,1226932216214578,{'0': '650495167222795'},2025-01-12 20:35:34+08:00
2025-01-13 12:07:22+00:00,1101335794166874,蔡阿嘎,yga0721,895023786227361,895023786227361,{'0': '1257017152945631'},2025-01-13 20:07:22+08:00
2025-01-14 12:43:49+00:00,1101335794166874,蔡阿嘎,yga0721,3256577404526283,3256577404526283,{'0': '26275388795386732'},2025-01-14 20:43:49+08:00
2025-01-15 11:47:20+00:00,1101335794166874,蔡阿嘎,yga0721,1295059725764097,1295059725764097,{'0': '650495167222795'},2025-01-15 19:47:20+08:00
2025-01-16 11:41:51+00:00,1101335794166874,蔡阿嘎,yga0721,926532136396806,926532136396806,{'0': '650495167222795'},2025-01-16 19:41:51+08:00
2025-01-20 11:56:01+00:00,1101335794166874,蔡阿嘎,yga0721,1532978657788554,1532978657788554,"{'0': '1257017152945631', '1': '650495167222795'}",2025-01-20 19:56:01+08:00
2025-01-22 12:00:05+00:00,1101335794166874,蔡阿嘎,yga0721,2382887622148423,2382887622148423,{'0': '1257017152945631'},2025-01-22 20:00:05+08:00
2025-01-22 13:01:26+00:00,1101335794166874,蔡阿嘎,yga0721,1379219033508350,1379219033508350,{'0': '1257017152945631'},2025-01-22 21:01:26+08:00
2025-01-23 12:00:15+00:00,1101335794166874,蔡阿嘎,yga0721,1404130634505530,1404130634505530,{'0': '1257017152945631'},2025-01-23 20:00:15+08:00
2025-01-24 11:59:30+00:00,1101335794166874,蔡阿嘎,yga0721,1159441849602125,1159441849602125,{'0': '26275388795386732'},2025-01-24 19:59:30+08:00
2025-01-25 13:11:22+00:00,1101335794166874,蔡阿嘎,yga0721,658580630647694,658580630647694,"{'0': '650495167222795', '1': '892112172389950'}",2025-01-25 21:11:22+08:00
2025-01-27 04:21:56+00:00,1101335794166874,蔡阿嘎,yga0721,1647560136598246,1647560136598246,{'0': '650495167222795'},2025-01-27 12:21:56+08:00
2025-01-30 04:11:02+00:00,1101335794166874,蔡阿嘎,yga0721,2287160761769118,2287160761769118,{'0': '650495167222795'},2025-01-30 12:11:02+08:00
2025-01-30 12:55:21+00:00,1101335794166874,蔡阿嘎,yga0721,656422817530271,656422817530271,{'0': '1257017152945631'},2025-01-30 20:55:21+08:00
2025-01-31 12:58:31+00:00,1101335794166874,蔡阿嘎,yga0721,1676848297007948,1676848297007948,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-01-31 20:58:31+08:00
2025-02-02 12:56:52+00:00,1101335794166874,蔡阿嘎,yga0721,2058015628381818,2058015628381818,{'0': '26275388795386732'},2025-02-02 20:56:52+08:00
2025-02-03 13:16:56+00:00,1101335794166874,蔡阿嘎,yga0721,844514891976541,844514891976541,{'0': '650495167222795'},2025-02-03 21:16:56+08:00
2025-02-04 12:31:27+00:00,1101335794166874,蔡阿嘎,yga0721,912992564455620,912992564455620,{'0': '1257017152945631'},2025-02-04 20:31:27+08:00
2025-02-04 13:17:08+00:00,1101335794166874,蔡阿嘎,yga0721,2068895457380051,2068895457380051,{'0': '650495167222795'},2025-02-04 21:17:08+08:00
2025-02-05 11:25:15+00:00,1101335794166874,蔡阿嘎,yga0721,1225691793033658,1225691793033658,{'0': '1257017152945631'},2025-02-05 19:25:15+08:00
2025-02-05 12:36:05+00:00,1101335794166874,蔡阿嘎,yga0721,1436511421363506,1436511421363506,"{'0': '2370672686695760', '1': '1257017152945631', '2': '650495167222795'}",2025-02-05 20:36:05+08:00
2025-02-07 11:34:12+00:00,1101335794166874,蔡阿嘎,yga0721,2275650622916016,2275650622916016,{'0': '26275388795386732'},2025-02-07 19:34:12+08:00
2025-02-07 12:38:16+00:00,1101335794166874,蔡阿嘎,yga0721,929477109518096,929477109518096,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-02-07 20:38:16+08:00
2025-02-08 04:30:17+00:00,1101335794166874,蔡阿嘎,yga0721,1649514573079220,1649514573079220,{'0': '1385289819747533'},2025-02-08 12:30:17+08:00
2025-02-09 12:33:04+00:00,1101335794166874,蔡阿嘎,yga0721,2170754950395377,2170754950395377,{'0': '1257017152945631'},2025-02-09 20:33:04+08:00
2025-02-10 12:06:57+00:00,1101335794166874,蔡阿嘎,yga0721,3356917461127013,3356917461127013,{'0': '650495167222795'},2025-02-10 20:06:57+08:00
2025-02-12 11:30:00+00:00,1101335794166874,蔡阿嘎,yga0721,2645943862435142,2645943862435142,{'0': '746687778173737'},2025-02-12 19:30:00+08:00
2025-02-13 12:02:15+00:00,1101335794166874,蔡阿嘎,yga0721,866661932877617,866661932877617,{'0': '26275388795386732'},2025-02-13 20:02:15+08:00
2025-02-15 12:40:17+00:00,1101335794166874,蔡阿嘎,yga0721,917539137499884,917539137499884,{'0': '650495167222795'},2025-02-15 20:40:17+08:00
2025-02-18 11:50:41+00:00,1101335794166874,蔡阿嘎,yga0721,1435473888322224,1435473888322224,{'0': '1450849106597770'},2025-02-18 19:50:41+08:00
2025-02-19 12:29:39+00:00,1101335794166874,蔡阿嘎,yga0721,1539532037160165,1539532037160165,{'0': '650495167222795'},2025-02-19 20:29:39+08:00
2025-02-20 11:39:30+00:00,1101335794166874,蔡阿嘎,yga0721,1605025540498877,1605025540498877,{'0': '26275388795386732'},2025-02-20 19:39:30+08:00
2025-02-20 12:43:54+00:00,1101335794166874,蔡阿嘎,yga0721,1610095179999965,1610095179999965,{'0': '650495167222795'},2025-02-20 20:43:54+08:00
2025-02-22 04:15:11+00:00,1101335794166874,蔡阿嘎,yga0721,877444005138287,877444005138287,{'0': '650495167222795'},2025-02-22 12:15:11+08:00
2025-02-23 12:34:36+00:00,1101335794166874,蔡阿嘎,yga0721,1229112955300860,1229112955300860,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-02-23 20:34:36+08:00
2025-02-25 13:03:46+00:00,1101335794166874,蔡阿嘎,yga0721,2114801712672936,2114801712672936,"{'0': '26275388795386732', '1': '1257017152945631'}",2025-02-25 21:03:46+08:00
2025-02-26 12:43:50+00:00,1101335794166874,蔡阿嘎,yga0721,1489265722757551,1489265722757551,{'0': '1257017152945631'},2025-02-26 20:43:50+08:00
2025-02-27 12:26:24+00:00,1101335794166874,蔡阿嘎,yga0721,4281006648837448,4281006648837448,{'0': '1257017152945631'},2025-02-27 20:26:24+08:00
2025-02-28 12:37:59+00:00,1101335794166874,蔡阿嘎,yga0721,1844263766239525,1844263766239525,{'0': '26275388795386732'},2025-02-28 20:37:59+08:00
2025-03-01 13:30:54+00:00,1101335794166874,蔡阿嘎,yga0721,921250637010955,921250637010955,{'0': '650495167222795'},2025-03-01 21:30:54+08:00
2025-03-02 04:21:27+00:00,1101335794166874,蔡阿嘎,yga0721,941943621729255,941943621729255,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-03-02 12:21:27+08:00
2025-03-02 12:47:05+00:00,1101335794166874,蔡阿嘎,yga0721,893355403618240,893355403618240,{'0': '872124012395102'},2025-03-02 20:47:05+08:00
2025-03-03 12:29:11+00:00,1101335794166874,蔡阿嘎,yga0721,2486495065078340,2486495065078340,{'0': '1257017152945631'},2025-03-03 20:29:11+08:00
2025-03-04 11:48:16+00:00,1101335794166874,蔡阿嘎,yga0721,33552474627729880,33552474627729881,{'0': '1319545913532609'},2025-03-04 19:48:16+08:00
2025-03-05 11:31:47+00:00,1101335794166874,蔡阿嘎,yga0721,1359100772656550,1359100772656550,"{'0': '26275388795386732', '1': '1257017152945631'}",2025-03-05 19:31:47+08:00
2025-03-05 12:38:43+00:00,1101335794166874,蔡阿嘎,yga0721,916729230945020,916729230945020,"{'0': '872124012395102', '1': '1385289819747533'}",2025-03-05 20:38:43+08:00
2025-03-07 12:32:38+00:00,1101335794166874,蔡阿嘎,yga0721,1218402763201691,1218402763201691,"{'0': '26275388795386732', '1': '1257017152945631'}",2025-03-07 20:32:38+08:00
2025-03-13 12:26:15+00:00,1101335794166874,蔡阿嘎,yga0721,1613398006745754,1613398006745754,"{'0': '1963019327920203', '1': '1582652542512915'}",2025-03-13 20:26:15+08:00
2025-03-14 12:32:14+00:00,1101335794166874,蔡阿嘎,yga0721,2000995290459307,2000995290459307,{'0': '26275388795386732'},2025-03-14 20:32:14+08:00
2025-03-14 13:17:56+00:00,1101335794166874,蔡阿嘎,yga0721,904925422188220,904925422188220,{'0': '650495167222795'},2025-03-14 21:17:56+08:00
2025-03-17 11:59:05+00:00,1101335794166874,蔡阿嘎,yga0721,878353441487241,878353441487241,{'0': '650495167222795'},2025-03-17 19:59:05+08:00
2025-03-18 08:05:55+00:00,1101335794166874,蔡阿嘎,yga0721,700339856378001,700339856378001,"{'0': '650495167222795', '1': '892112172389950'}",2025-03-18 16:05:55+08:00
2025-03-18 12:04:49+00:00,1101335794166874,蔡阿嘎,yga0721,881392754756410,881392754756410,{'0': '650495167222795'},2025-03-18 20:04:49+08:00
2025-03-19 11:12:11+00:00,1101335794166874,蔡阿嘎,yga0721,2695298694159731,2695298694159731,"{'0': '26275388795386732', '1': '1257017152945631'}",2025-03-19 19:12:11+08:00
2025-03-20 12:20:49+00:00,1101335794166874,蔡阿嘎,yga0721,876176862050494,876176862050494,{'0': '650495167222795'},2025-03-20 20:20:49+08:00
2025-03-20 13:19:19+00:00,1101335794166874,蔡阿嘎,yga0721,1218381220481244,1218381220481244,{'0': '650495167222795'},2025-03-20 21:19:19+08:00
2025-03-21 01:49:56+00:00,1101335794166874,蔡阿嘎,yga0721,1400747154314200,1400747154314200,"{'0': '650495167222795', '1': '892112172389950'}",2025-03-21 09:49:56+08:00
2025-03-21 12:03:01+00:00,1101335794166874,蔡阿嘎,yga0721,1429426552147072,1429426552147072,{'0': '26275388795386732'},2025-03-21 20:03:01+08:00
2025-03-24 12:54:38+00:00,1101335794166874,蔡阿嘎,yga0721,741298588748637,741298588748637,{'0': '26275388795386732'},2025-03-24 20:54:38+08:00
2025-03-28 13:05:55+00:00,1101335794166874,蔡阿嘎,yga0721,2692705667759193,2692705667759193,{'0': '26275388795386732'},2025-03-28 21:05:55+08:00
2025-04-01 11:47:03+00:00,1101335794166874,蔡阿嘎,yga0721,2712851459067601,2712851459067601,{'0': '650495167222795'},2025-04-01 19:47:03+08:00
2025-04-02 12:02:40+00:00,1101335794166874,蔡阿嘎,yga0721,899298279147755,899298279147755,"{'0': '26275388795386732', '1': '1257017152945631'}",2025-04-02 20:02:40+08:00
2025-04-03 13:02:36+00:00,1101335794166874,蔡阿嘎,yga0721,1252245530134541,1252245530134541,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-04-03 21:02:36+08:00
2025-04-03 13:44:21+00:00,1101335794166874,蔡阿嘎,yga0721,2107310443391749,2107310443391749,{'0': '650495167222795'},2025-04-03 21:44:21+08:00
2025-04-04 12:07:00+00:00,1101335794166874,蔡阿嘎,yga0721,1599529917748519,1599529917748519,{'0': '908929048361317'},2025-04-04 20:07:00+08:00
2025-04-07 11:27:19+00:00,1101335794166874,蔡阿嘎,yga0721,1556612252302610,1556612252302610,{'0': '650495167222795'},2025-04-07 19:27:19+08:00
2025-04-08 11:30:00+00:00,1101335794166874,蔡阿嘎,yga0721,1970174680379219,1970174680379219,{'0': '650495167222795'},2025-04-08 19:30:00+08:00
2025-04-09 11:54:39+00:00,1101335794166874,蔡阿嘎,yga0721,673119385822730,673119385822730,"{'0': '872124012395102', '1': '1385289819747533'}",2025-04-09 19:54:39+08:00
2025-04-10 12:02:15+00:00,1101335794166874,蔡阿嘎,yga0721,911246688132738,911246688132738,{'0': '26275388795386732'},2025-04-10 20:02:15+08:00
2025-04-11 12:32:29+00:00,1101335794166874,蔡阿嘎,yga0721,728511056805502,728511056805502,{'0': '872124012395102'},2025-04-11 20:32:29+08:00
2025-04-15 12:02:07+00:00,1101335794166874,蔡阿嘎,yga0721,1571883747355939,1571883747355939,"{'0': '872124012395102', '1': '1385289819747533'}",2025-04-15 20:02:07+08:00
2025-04-16 12:02:53+00:00,1101335794166874,蔡阿嘎,yga0721,1415983970173746,1415983970173746,{'0': '650495167222795'},2025-04-16 20:02:53+08:00
2025-04-19 13:15:54+00:00,1101335794166874,蔡阿嘎,yga0721,919756220581860,919756220581860,"{'0': '1894660817935969', '1': '1385289819747533'}",2025-04-19 21:15:54+08:00
2025-04-20 04:16:06+00:00,1101335794166874,蔡阿嘎,yga0721,899308245836473,899308245836473,"{'0': '872124012395102', '1': '1385289819747533'}",2025-04-20 12:16:06+08:00
2025-04-21 11:34:45+00:00,1101335794166874,蔡阿嘎,yga0721,1447665770324166,1447665770324166,{'0': '650495167222795'},2025-04-21 19:34:45+08:00
2025-04-23 11:55:08+00:00,1101335794166874,蔡阿嘎,yga0721,1647891163043742,1647891163043742,{'0': '650495167222795'},2025-04-23 19:55:08+08:00
2025-04-29 11:58:44+00:00,1101335794166874,蔡阿嘎,yga0721,858602230504081,858602230504081,{'0': '650495167222795'},2025-04-29 19:58:44+08:00
2025-05-04 04:25:55+00:00,1101335794166874,蔡阿嘎,yga0721,2223193631423701,2223193631423701,{'0': '1385289819747533'},2025-05-04 12:25:55+08:00
2025-05-07 11:51:01+00:00,1101335794166874,蔡阿嘎,yga0721,890983677181770,890983677181770,"{'0': '2370672686695760', '1': '650495167222795'}",2025-05-07 19:51:01+08:00
2025-05-09 12:10:09+00:00,1101335794166874,蔡阿嘎,yga0721,2651614961884089,2651614961884089,"{'0': '26275388795386732', '1': '650495167222795'}",2025-05-09 20:10:09+08:00
2025-05-13 12:15:40+00:00,1101335794166874,蔡阿嘎,yga0721,1535509637524594,1535509637524594,{'0': '650495167222795'},2025-05-13 20:15:40+08:00
2025-05-15 12:04:10+00:00,1101335794166874,蔡阿嘎,yga0721,850859514623118,850859514623118,{'0': '26275388795386732'},2025-05-15 20:04:10+08:00
2025-05-16 12:30:46+00:00,1101335794166874,蔡阿嘎,yga0721,4291578684418300,4291578684418300,{'0': '1385289819747533'},2025-05-16 20:30:46+08:00
2025-05-20 11:56:56+00:00,1101335794166874,蔡阿嘎,yga0721,991664566848740,991664566848740,"{'0': '1257017152945631', '1': '650495167222795'}",2025-05-20 19:56:56+08:00
2025-05-21 12:00:16+00:00,1101335794166874,蔡阿嘎,yga0721,2605824863107374,2605824863107374,{'0': '650495167222795'},2025-05-21 20:00:16+08:00
